nm, %R
2400.000000, 11.574959
2395.000000, 79.210974
2390.000000, 12.737956
2385.000000, -24.167008
2380.000000, -21.361241
2375.000000, 52.031829
2370.000000, 20.696669
2365.000000, 33.520942
2360.000000, -73.316737
2355.000000, 14.425791
2350.000000, 15.609611
2345.000000, 29.130581
2340.000000, 25.460388
2335.000000, 17.806246
2330.000000, -1.480264
2325.000000, 30.415322
2320.000000, 47.565805
2315.000000, 36.493797
2310.000000, 16.401186
2305.000000, 74.654878
2300.000000, 27.495391
2295.000000, 57.731198
2290.000000, 367.459176
2285.000000, 35.866375
2280.000000, 14.030503
2275.000000, 33.804988
2270.000000, 32.774614
2265.000000, 20.262369
2260.000000, 32.501418
2255.000000, 15.585511
2250.000000, 36.691880
2245.000000, 8.787131
2240.000000, 8.378884
2235.000000, 0.976998
2230.000000, 16.692737
2225.000000, 6.919287
2220.000000, 26.815066
2215.000000, 12.167630
2210.000000, 5.176165
2205.000000, 10.625129
2200.000000, 16.501650
2195.000000, 19.849714
2190.000000, 21.021543
2185.000000, 10.751534
2180.000000, 2.129725
2175.000000, -40.627508
2170.000000, 5.077241
2165.000000, 10.937374
2160.000000, 29.475408
2155.000000, 6.019428
2150.000000, 11.410792
2145.000000, -8.944160
2140.000000, 29.405607
2135.000000, 35.941824
2130.000000, 44.345590
2125.000000, -4.041517
2120.000000, -14.191383
2115.000000, -36.891146
2110.000000, 39.190347
2105.000000, 47.714221
2100.000000, 36.979870
2095.000000, -2.062509
2090.000000, -13.191771
2085.000000, 5.114769
2080.000000, 37.796728
2075.000000, 1.332479
2070.000000, 9.875349
2065.000000, 23.406627
2060.000000, 10.151540
2055.000000, 16.391753
2050.000000, 3.314303
2045.000000, 9.472434
2040.000000, 13.366139
2035.000000, 15.782894
2030.000000, 14.087623
2025.000000, -2.700746
2020.000000, 16.369445
2015.000000, 16.608251
2010.000000, 6.401349
2005.000000, 6.198120
2000.000000, 6.992538
1995.000000, 10.350964
1990.000000, 13.788311
1985.000000, 12.760986
1980.000000, 8.061910
1975.000000, 2.853816
1970.000000, 10.955891
1965.000000, 16.598795
1960.000000, 23.932919
1955.000000, 14.502444
1950.000000, 10.037695
1945.000000, 5.898780
1940.000000, 7.244318
1935.000000, 21.134004
1930.000000, 30.175056
1925.000000, 5.841147
1920.000000, 2.739157
1915.000000, 14.775792
1910.000000, 15.402329
1905.000000, 13.412095
1900.000000, 7.213894
1895.000000, 15.761266
1890.000000, 10.347361
1885.000000, 4.234264
1880.000000, 7.941186
1875.000000, 10.055050
1870.000000, 13.107955
1865.000000, 11.167931
1860.000000, 5.623071
1855.000000, 5.797558
1850.000000, 10.796434
1845.000000, 13.000658
1840.000000, 11.378231
1835.000000, 4.579760
1830.000000, 4.210668
1825.000000, 8.107976
1820.000000, 10.866885
1815.000000, 12.998451
1810.000000, 26.476511
1805.000000, 21.258742
1800.000000, 10.736858
1795.000000, 9.072355
1790.000000, 7.209989
1785.000000, 10.089060
1780.000000, 14.714274
1775.000000, 15.271862
1770.000000, 3.512051
1765.000000, 3.703352
1760.000000, 12.268032
1755.000000, 12.075910
1750.000000, 13.403178
1745.000000, 15.258861
1740.000000, 7.202930
1735.000000, 7.552803
1730.000000, 11.978095
1725.000000, 12.219208
1720.000000, 10.256897
1715.000000, 13.505554
1710.000000, 14.609180
1705.000000, 8.357910
1700.000000, 5.556147
1695.000000, 7.865754
1690.000000, 8.024644
1685.000000, 5.131851
1680.000000, 7.612518
1675.000000, 12.196294
1670.000000, 8.945328
1665.000000, 4.076714
1660.000000, 7.450668
1655.000000, 18.047327
1650.000000, 7.907431
1645.000000, 7.902440
1640.000000, 9.747515
1635.000000, 10.171523
1630.000000, 9.889008
1625.000000, 11.927730
1620.000000, 7.956095
1615.000000, 2.223626
1610.000000, 6.815830
1605.000000, 12.396503
1600.000000, 13.476099
1595.000000, 8.656848
1590.000000, 8.662041
1585.000000, 12.710557
1580.000000, 10.786946
1575.000000, 8.914584
1570.000000, 11.437835
1565.000000, 9.049692
1560.000000, 8.002986
1555.000000, 14.054247
1550.000000, 7.836824
1545.000000, 11.486900
1540.000000, 3.881069
1535.000000, 10.645327
1530.000000, 11.444407
1525.000000, 12.927310
1520.000000, 12.387054
1515.000000, 14.267401
1510.000000, 8.482809
1505.000000, 7.857864
1500.000000, 7.913019
1495.000000, 9.318463
1490.000000, 7.701277
1485.000000, 8.925263
1480.000000, 11.198126
1475.000000, 7.901777
1470.000000, 9.083769
1465.000000, 10.099124
1460.000000, 7.287837
1455.000000, 17.045290
1450.000000, 8.584827
1445.000000, 8.154276
1440.000000, 10.981154
1435.000000, 7.807755
1430.000000, 8.571830
1425.000000, 15.524471
1420.000000, 5.839669
1415.000000, 7.910839
1410.000000, 11.366205
1405.000000, 5.388245
1400.000000, 6.713965
1395.000000, 13.934161
1390.000000, 10.620283
1385.000000, 8.293126
1380.000000, 5.064154
1375.000000, 9.383522
1370.000000, 7.756898
1365.000000, 11.886175
1360.000000, 9.666533
1355.000000, 8.535581
1350.000000, 11.545830
1345.000000, 9.524871
1340.000000, 9.697353
1335.000000, 9.349770
1330.000000, 11.834752
1325.000000, 8.929106
1320.000000, 7.592084
1315.000000, 6.702882
1310.000000, 5.002703
1305.000000, 7.815870
1300.000000, 9.717861
1295.000000, 8.352698
1290.000000, 7.216690
1285.000000, 9.739220
1280.000000, 9.246116
1275.000000, 13.212572
1270.000000, 8.306914
1265.000000, 4.008243
1260.000000, 10.779327
1255.000000, 12.059371
1250.000000, 12.562186
1245.000000, 12.472000
1240.000000, 11.941531
1235.000000, 7.904699
1230.000000, 10.878201
1225.000000, 8.449141
1220.000000, 10.571018
1215.000000, 8.906863
1210.000000, 16.319358
1205.000000, 8.682690
1200.000000, 10.068755
1195.000000, 6.093178
1190.000000, 7.559174
1185.000000, 9.486346
1180.000000, 6.840375
1175.000000, 9.388614
1170.000000, 9.966167
1165.000000, 10.543306
1160.000000, 9.566520
1155.000000, 9.985009
1150.000000, 10.365307
1145.000000, 12.229837
1140.000000, 8.409780
1135.000000, 11.200889
1130.000000, 9.920253
1125.000000, 8.143649
1120.000000, 9.704589
1115.000000, 10.148386
1110.000000, 10.043488
1105.000000, 10.167297
1100.000000, 10.372656
1095.000000, 9.983645
1090.000000, 10.851384
1085.000000, 9.781117
1080.000000, 10.508851
1075.000000, 10.576865
1070.000000, 9.828967
1065.000000, 10.420139
1060.000000, 10.992218
1055.000000, 9.266201
1050.000000, 10.058238
1045.000000, 11.463843
1040.000000, 10.537848
1035.000000, 9.326641
1030.000000, 10.250565
1025.000000, 9.434560
1020.000000, 8.917456
1015.000000, 10.817121
1010.000000, 10.851457
1005.000000, 9.845398
1000.000000, 11.154950
995.000000, 10.349821
990.000000, 11.345407
985.000000, 10.366385
980.000000, 11.282856
975.000000, 11.216711
970.000000, 11.072482
965.000000, 9.156220
960.000000, 11.128648
955.000000, 10.221102
950.000000, 10.605361
945.000000, 10.786440
940.000000, 10.604472
935.000000, 8.503795
930.000000, 8.099154
925.000000, 8.114342
920.000000, 9.196558
915.000000, 14.630502
910.000000, 17.306816
905.000000, 15.420658
900.000000, 13.024319
895.000000, 20.647051
890.000000, 17.224045
885.000000, 6.096142
880.000000, 17.543409
875.000000, 21.777584
870.000000, 19.187103
865.000000, 5.322557
860.000000, -5.904910
855.000000, 20.406318
850.000000, 10.313631
845.000000, 10.318695
840.000000, 10.332346
835.000000, 10.328015
830.000000, 10.295733
825.000000, 10.238490
820.000000, 10.261345
815.000000, 10.252331
810.000000, 10.233570
805.000000, 10.194563
800.000000, 10.142959
795.000000, 10.121416
790.000000, 10.115820
785.000000, 10.100540
780.000000, 10.086103
775.000000, 10.071595
770.000000, 10.029361
765.000000, 9.998739
760.000000, 10.012959
755.000000, 10.000019
750.000000, 9.963153
745.000000, 9.925638
740.000000, 9.947040
735.000000, 9.930459
730.000000, 9.917661
725.000000, 9.899285
720.000000, 9.840273
715.000000, 9.833697
710.000000, 9.830475
705.000000, 9.823274
700.000000, 9.824224
695.000000, 9.808505
690.000000, 9.806562
685.000000, 9.813498
680.000000, 9.831856
675.000000, 9.815134
670.000000, 9.795208
665.000000, 9.794778
660.000000, 9.784335
655.000000, 9.764482
650.000000, 9.773243
645.000000, 9.755796
640.000000, 9.726779
635.000000, 9.737414
630.000000, 9.738337
625.000000, 9.725015
620.000000, 9.710725
615.000000, 9.713935
610.000000, 9.705623
605.000000, 9.690132
600.000000, 9.688884
595.000000, 9.674183
590.000000, 9.676653
585.000000, 9.655877
580.000000, 9.651406
575.000000, 9.646618
570.000000, 9.630992
565.000000, 9.633932
560.000000, 9.664189
555.000000, 9.712392
550.000000, 9.692189
545.000000, 9.691498
540.000000, 9.689785
535.000000, 9.683704
530.000000, 9.691926
525.000000, 9.712226
520.000000, 9.749917
515.000000, 9.835153
510.000000, 9.929294
505.000000, 9.999382
500.000000, 10.016826
495.000000, 9.994868
490.000000, 9.932572
485.000000, 9.834568
480.000000, 9.775788
475.000000, 9.805095
470.000000, 9.831878
465.000000, 9.854197
460.000000, 9.830801
455.000000, 9.809934
450.000000, 9.797600
445.000000, 9.783922
440.000000, 9.779401
435.000000, 9.751746
430.000000, 9.759019
425.000000, 9.762120
420.000000, 9.749996
415.000000, 9.751514
410.000000, 9.747079
405.000000, 9.761642
400.000000, 9.769419
395.000000, 9.758833
390.000000, 9.783450
385.000000, 9.807801
380.000000, 9.787118
375.000000, 9.619309
370.000000, 9.321177
365.000000, 9.419138
360.000000, 9.514137
